customer id,age_group,gender,cheeseburger,bacon burger,chili cheese ,blue cheese mushroom,double cheese,double bacon,crispy chicken,vegan burger,revenue
" 5,298,246,727 ",50 - 59 years,Female,,,,,47.0,,,,47
" 5,334,554,040 ",not specified,Female,35.0,,31.0,,,,,,66
" 5,351,671,295 ",20 - 29 years,Female,10.0,,,,,,,,10
" 5,356,866,081 ",50 - 59 years,Female,,,,,,85.0,,,85
" 5,364,985,892 ",not specified,Female,,,,,,,,40.0,40
" 5,383,115,113 ",40 - 49 years,Female,19.0,,,,,,,,19
" 5,420,458,777 ",30 - 39 years,Female,62.0,,,,,,,,62
" 5,517,104,687 ",not specified,Female,,85.0,61.0,,,,,,146
" 5,559,344,596 ",20 - 29 years,Female,16.0,,,,,,,,16
" 5,643,046,648 ",40 - 49 years,Female,,,,,22.0,,,,22
" 5,653,535,236 ",60 years,Male,40.0,,,,,,,,40
" 5,707,118,022 ",not specified,Female,,,13.0,20.0,,,,,33
" 5,853,976,513 ",not specified,Male,64.0,,,,,,,,64
" 5,916,974,962 ",30 - 39 years,Female,,,,,,,19.0,,19
" 5,973,148,398 ",20 - 29 years,Female,,60.0,,,,,,,60
" 6,060,685,622 ",20 - 29 years,Female,18.0,,,,,,,,18
" 6,105,410,676 ",not specified,Female,,,,58.0,,,,,58
" 6,158,936,854 ",not specified,Male,84.0,,,,,,,,84
" 6,256,481,203 ",not specified,Female,,50.0,,,,,,,50
" 6,297,881,477 ",not specified,Female,,35.0,,,,,,,35
" 6,310,780,833 ",60 years,Female,,,,,48.0,,,,48
" 6,335,186,206 ",50 - 59 years,Female,20.0,,,,,,,,20
" 6,469,297,362 ",not specified,Female,52.0,,,,,,,,52
" 6,720,460,107 ",60 years,Female,,,,,,56.0,,,56
" 6,742,368,444 ",50 - 59 years,Female,34.0,,,,,,,,34
" 6,771,181,799 ",40 - 49 years,Male,,17.0,,,,,,,17
" 6,910,341,371 ",30 - 39 years,Female,,39.0,,,,,,,39
" 7,122,432,598 ",30 - 39 years,Male,,,8.0,,,85.0,,,93
" 7,146,144,034 ",not specified,Female,46.0,50.0,,,,60.0,,,156
" 7,173,953,069 ",60 years,Female,55.0,,,,,,,,55
" 7,209,920,436 ",not specified,Male,,,,,,,,55.0,55
" 7,335,677,452 ",30 - 39 years,Female,,,,,,72.0,,,72
" 7,403,032,567 ",not specified,Male,40.0,,,,,,,,40
" 7,412,987,585 ",40 - 49 years,Female,28.0,,,,,,,,28
" 7,506,144,035 ",not specified,Female,21.0,,,,,,,,21
" 7,576,089,948 ",not specified, ,,,,,,,12.0,,12
" 7,578,108,405 ",30 - 39 years,Female,32.0,,,,,,,,32
" 7,593,487,765 ",not specified,Male,,61.0,,,,,,,61
" 7,648,669,363 ",20 - 29 years,Female,,,,,30.0,,,,30
" 7,750,113,360 ",not specified,Female,,,,,90.0,,,80.0,170
" 7,970,451,359 ",not specified,Female,,,44.0,96.0,,,,,140
" 7,994,652,990 ",60 years,Female,,,,,20.0,,,32.0,52
" 8,001,977,045 ",60 years,Female,20.0,,,,,,,,20
" 8,026,519,124 ",60 years,Female,,,,,,,19.0,,19
" 8,052,416,610 ",40 - 49 years,Male,,81.0,,,,,,,81
" 8,075,527,916 ",not specified,Female,,,,,,,25.0,,25
" 8,155,862,669 ",not specified,Male,52.0,,,,60.0,,,,112
" 8,189,316,976 ",40 - 49 years,Female,28.0,,,,,,,,28
" 8,305,148,358 ",30 - 39 years,Female,54.0,,,,,,,,54
" 8,396,561,576 ",40 - 49 years,Female,,,,18.0,,,,,18
" 8,401,298,676 ",40 - 49 years,Female,80.0,,,,,,,,80
" 8,513,287,605 ",not specified,Female,,,,,62.0,,,,62
" 8,513,891,518 ",not specified, ,38.0,,,,,,,,38
" 8,577,575,514 ",20 - 29 years,Female,,,,,42.0,,,,42
" 8,610,429,675 ",not specified,Female,,,31.0,,,,,,31
" 8,649,146,361 ",30 - 39 years,Female,,,,90.0,,,,,90
" 8,651,836,432 ",not specified,Female,55.0,,,,,,,,55
" 8,753,348,529 ",20 - 29 years,Female,,,,,52.0,,,,52
" 8,774,476,259 ",not specified,Female,9.0,,,,,,,,9
" 8,810,300,760 ",not specified,Female,,,,,51.0,,,,51
" 8,903,085,489 ",20 - 29 years,Female,71.0,,,,,,,,71
" 8,907,324,806 ",40 - 49 years,Female,72.0,,,,,,,,72
" 9,103,474,491 ",20 - 29 years,Female,26.0,,,,,,,,26
" 9,235,552,978 ",40 - 49 years,Female,,,,28.0,,,,,28
" 9,281,344,135 ",not specified, ,,,,35.0,,,,,35
" 9,288,325,369 ",20 - 29 years,Female,,40.0,,,,,,,40
" 9,335,384,852 ",not specified,Female,90.0,,,,,,,,90
" 9,654,837,490 ",30 - 39 years,Female,,38.0,,,,,,,38
" 9,697,764,935 ",not specified,Female,,,,19.0,,20.0,,,39
" 9,716,869,874 ",not specified,Female,51.0,,,,,,,,51
" 9,753,678,295 ",50 - 59 years,Female,,,,,,,33.0,,33
" 9,787,897,716 ",40 - 49 years,Female,,60.0,,,100.0,,,,160
" 9,793,039,199 ",not specified,Female,78.0,20.0,,,,,,,98
" 9,804,422,424 ",40 - 49 years,Female,,,,,69.0,,,,69
" 9,817,418,211 ",20 - 29 years,Female,,,,48.0,,,,,48
" 9,851,340,565 ",not specified,Female,,,,,30.0,,,,30
" 9,887,000,946 ",30 - 39 years,Female,48.0,,,,78.0,,,,126
" 9,913,175,899 ",30 - 39 years,Female,,,,,,,,56.0,56
" 9,949,786,642 ",not specified,Male,,,,,95.0,,,,95
" 9,950,198,079 ",30 - 39 years,Female,,,,,27.0,,,,27
" 9,966,756,328 ",50 - 59 years,Female,,,,,,83.0,,,83
" 9,968,606,553 ",40 - 49 years,Female,56.0,,,,,,,,56
" 10,054,748,566 ",30 - 39 years,Female,17.0,,,,,,,,17
" 10,137,116,802 ",50 - 59 years,Female,40.0,,16.0,,,,,,56
" 10,154,691,489 ",30 - 39 years,Male,22.0,,,,,,,,22
" 10,175,067,790 ",30 - 39 years,Female,,,,15.0,,,,,15
" 10,216,823,084 ",40 - 49 years,Female,,,,,,80.0,,,80
" 10,265,021,594 ",20 - 29 years,Male,,,40.0,,,,,,40
" 10,274,115,874 ",40 - 49 years,Female,42.0,41.0,,,,,,,83
" 10,351,210,198 ",not specified,Female,,,,33.0,,,,,33
" 10,368,121,270 ",not specified,Male,41.0,,,,,,,,41
" 10,561,386,111 ",not specified,Male,26.0,,,,,,,,26
" 10,571,518,449 ",40 - 49 years,Female,,,,,85.0,,,,85
" 10,586,609,419 ",not specified,Female,,,22.0,,,,,,22
" 10,787,053,815 ",30 - 39 years,Female,38.0,,,,,,,,38
" 10,879,145,173 ",not specified,Female,72.0,,,,,,,,72
" 10,977,715,959 ",not specified,Male,62.0,,,,,,,,62
" 11,027,887,044 ",30 - 39 years,Female,,,,,,40.0,,100.0,140
" 11,028,274,920 ",not specified,Female,45.0,,,,,,,,45
" 11,062,224,043 ",not specified, ,,,,,91.0,,,,91
" 11,105,562,735 ",not specified,Female,,,,29.0,,,,,29
" 11,147,812,202 ",not specified,Female,9.0,,,,,,,,9
" 11,166,075,868 ",not specified,Female,89.0,,,,,,,,89
" 11,304,174,555 ",50 - 59 years,Female,35.0,,,,25.0,,,,60
" 11,322,301,171 ",20 - 29 years,Female,,,,44.0,,,,,44
" 11,380,419,956 ",not specified,Female,16.0,,,,,,,,16
" 11,421,801,825 ",not specified,Female,,,,,,,20.0,,20
" 11,479,339,317 ",30 - 39 years,Female,44.0,,,22.0,,,,,67
" 11,491,665,719 ",not specified, ,,,,,50.0,,,,50
" 11,521,141,735 ",30 - 39 years,Male,20.0,,,,,,,,20
" 11,548,550,584 ",20 - 29 years,Female,,,,,25.0,,,,25
" 11,601,045,530 ",not specified, ,,48.0,,,,,,,48
" 11,604,683,370 ",not specified,Male,,70.0,,,,,,,70
" 11,610,202,401 ",not specified,Female,80.0,,,,,,,,80
" 11,905,613,353 ",30 - 39 years,Female,,,,,70.0,,,,70
" 11,913,678,406 ",40 - 49 years,Male,,,24.0,,,,,,24
" 11,946,794,981 ",not specified,Male,15.0,,,,,,,,15
" 12,002,310,833 ",not specified,Male,,,,,,49.0,,,49
" 12,115,672,328 ",50 - 59 years,Male,,,,,39.0,,,,39
" 12,167,871,246 ",20 - 29 years,Female,25.0,,,,,,,,25
" 12,175,675,834 ",not specified,Female,,,,,,71.0,,,71
" 12,248,460,681 ",40 - 49 years,Female,,60.0,,,,,,,60
" 12,272,889,212 ",40 - 49 years,Female,,85.0,,,,,,,85
" 12,297,510,024 ",50 - 59 years,Female,,,,,50.0,,,,50
" 12,299,196,733 ",not specified,Female,100.0,,,,,,,,100
" 12,307,274,709 ",40 - 49 years,Female,,,,,27.0,,,,27
" 12,362,198,281 ",not specified,Male,,,,,34.0,,,,34
" 12,362,635,181 ",30 - 39 years,Female,,86.0,,,,,,,86
" 12,486,851,799 ",not specified,Female,66.0,,,,,,,,66
" 12,562,512,020 ",40 - 49 years,Female,,,,,35.0,,,,35
" 12,644,870,267 ",50 - 59 years,Female,,,60.0,,,,,,60
" 12,728,918,204 ",not specified,Male,97.0,,,25.0,,,,,122
" 12,778,468,878 ",40 - 49 years,Female,63.0,,,,,,,,63
" 12,796,002,550 ",not specified,Female,,60.0,,,,,,,60
" 12,799,267,577 ",not specified,Female,26.0,,,,,,,,26
" 12,897,079,176 ",50 - 59 years,Female,38.0,,,,,,,,38
" 12,933,098,142 ",not specified,Female,,,,,,,19.0,,19
" 13,020,588,143 ",not specified,Male,75.0,,,8.0,,,,,83
" 13,104,141,825 ",not specified,Female,,,,,70.0,,,,70
" 13,249,900,135 ",30 - 39 years,Female,,,,,,30.0,,,30
" 13,325,862,253 ",not specified,Female,,,,,,75.0,,,75
" 13,348,457,019 ",not specified,Male,,,,,,,14.0,,14
" 13,365,062,613 ",30 - 39 years,Female,,64.0,,,,,,,64
" 13,399,838,368 ",20 - 29 years,Male,,,,,77.0,,,,77
" 13,508,978,185 ",30 - 39 years,Female,,44.0,,,,,,,44
" 13,592,624,546 ",30 - 39 years,Female,28.0,,,,,,,,28
" 13,693,364,416 ",30 - 39 years,Female,,,44.0,,,,,,44
" 13,740,709,323 ",not specified,Female,,,,25.0,,,,,25
" 13,980,612,556 ",30 - 39 years,Female,24.0,,,22.0,,,,,46
" 14,041,445,314 ",not specified,Female,,,,,60.0,,,,60
" 14,076,892,759 ",not specified,Male,,,,,,,42.0,,42
" 14,149,565,744 ",not specified,Female,,,,,,,19.0,,19
" 14,193,104,964 ",not specified,Male,17.0,,,,,,,,17
" 14,197,244,900 ",not specified, ,,,,,,57.0,,,57
" 14,298,959,835 ",not specified,Male,44.0,,,,34.0,,,,78
" 14,377,109,961 ",not specified,Male,,,,,,90.0,,,90
" 14,401,099,015 ",20 - 29 years,Female,30.0,,,,,,,,30
" 14,528,319,356 ",50 - 59 years,Female,93.0,,,,,,16.0,,109
" 14,534,211,330 ",not specified,Female,,,,,25.0,,,,25
" 14,550,967,200 ",30 - 39 years,Male,,,,,,100.0,,,100
" 14,586,340,653 ",not specified,Female,,,,25.0,,,,,25
" 14,601,283,047 ",not specified,Female,,,,14.0,,,,,14
" 14,634,674,139 ",not specified,Female,,,,,42.0,,36.0,,78
" 14,645,396,812 ",not specified, ,79.0,71.0,,,,,,,150
" 14,658,529,589 ",20 - 29 years,Female,88.0,,,,,,,,88
" 14,669,243,450 ",30 - 39 years,Female,87.0,,,,,,,,87
" 14,759,545,927 ",20 - 29 years,Female,,27.0,,,,,,,27
" 14,812,254,143 ",30 - 39 years,Female,,,,,,36.0,,,36
" 14,859,640,415 ",20 - 29 years,Female,84.0,,,,,,,,84
" 14,872,743,624 ",not specified,Male,,,,,,,28.0,,28
" 14,882,300,357 ",40 - 49 years,Female,,,,,52.0,,,,52
" 14,929,378,317 ",40 - 49 years,Female,,,,93.0,,,,,93
" 14,960,442,958 ",not specified,Female,56.0,,,,,,,,56
" 14,978,059,470 ",20 - 29 years,Female,,,,15.0,,,,,15
" 14,995,546,196 ",not specified,Female,78.0,,,26.0,,,,,104
" 15,007,588,261 ",60 years,Female,23.0,,,,,,,,23
" 15,080,470,917 ",30 - 39 years,Female,,,,,,,24.0,,24
" 15,112,999,260 ",not specified,Female,,,,,57.0,,,27.0,83
" 15,138,117,420 ",not specified,Female,,,,,56.0,,,,56
" 15,170,952,076 ",not specified,Female,97.0,,,,,,,,97
" 15,179,224,799 ",20 - 29 years,Female,,,,,60.0,,,,60
" 15,202,033,776 ",not specified,Female,40.0,,,,52.0,,,,92
" 15,212,064,008 ",not specified,Female,,22.0,,,,,,,22
" 15,282,944,877 ",not specified, ,17.0,,,,,,,,17
" 15,304,647,975 ",not specified,Male,90.0,,,,,,,,90
" 15,309,949,526 ",20 - 29 years,Female,89.0,,,,,,,,89
" 15,342,294,013 ",20 - 29 years,Female,,,,13.0,,,,,13
" 15,353,611,526 ",30 - 39 years,Female,,,7.0,,,,,,7
" 15,408,267,401 ",30 - 39 years,Female,,,,,38.0,,,,38
" 15,488,049,612 ",not specified,Female,,40.0,,44.0,,,,,84
" 15,527,137,333 ",50 - 59 years,Female,,,,,,77.0,,,77
" 15,618,121,571 ",not specified,Female,38.0,,,,,,,,38
" 15,629,753,307 ",not specified,Female,,,,,,,19.0,,19
" 15,792,789,919 ",not specified,Male,70.0,,,,,,,,70
" 15,830,335,549 ",not specified,Male,,96.0,,,,,,,96
" 15,879,872,500 ",40 - 49 years,Female,,46.0,,,,,,,46
" 15,889,712,289 ",40 - 49 years,Female,40.0,,,37.0,,,,,76
" 15,927,810,769 ",not specified,Female,,83.0,,,,,,,83
" 15,950,243,209 ",not specified,Male,,,100.0,,,,,,100
" 15,961,000,016 ",not specified,Male,,96.0,,,,,,,96
" 15,983,591,211 ",not specified,Female,,,,,,20.0,,,20
" 16,001,376,626 ",40 - 49 years,Female,35.0,,,,,90.0,,,125
" 16,102,578,823 ",not specified,Male,20.0,,,,,,,,20
" 16,111,996,489 ",not specified,Male,,,,27.0,,60.0,,,87
" 16,125,743,453 ",not specified,Female,,32.0,,,,,,,32
" 16,132,070,741 ",40 - 49 years,Female,20.0,,,,,,,,20
" 16,203,087,480 ",60 years,Female,75.0,,,,,,,,75
" 16,273,511,281 ",30 - 39 years,Female,,,26.0,,,,,,26
" 16,278,060,224 ",not specified,Female,,,,28.0,,,,,28
" 16,357,069,891 ",not specified,Female,,,,,,40.0,,,40
" 16,427,962,235 ",20 - 29 years,Female,,,,17.0,,,,,17
" 16,587,282,292 ",20 - 29 years,Female,40.0,,,,,,,,40
" 16,637,810,783 ",20 - 29 years,Female,,,,,,28.0,,,28
" 16,664,419,065 ",30 - 39 years,Female,,,,,21.0,,30.0,,51
" 16,702,457,775 ",not specified,Female,,,,16.0,,,,,16
" 16,709,408,589 ",20 - 29 years,Female,,,25.0,,,,,,25
" 16,721,273,662 ",40 - 49 years,Female,,,25.0,,,,,,25
" 16,723,312,568 ",not specified,Female,,,,,88.0,,,,88
" 16,732,464,224 ",not specified,Male,,,,,96.0,52.0,,,148
" 16,740,821,559 ",not specified,Male,90.0,,,46.0,,,22.0,,158
" 16,790,735,155 ",20 - 29 years,Male,,65.0,,,,,,,65
" 16,870,232,161 ",not specified,Male,,40.0,,,,,,,40
" 17,096,383,015 ",not specified,Female,,,,,,,32.0,,32
" 17,104,392,097 ",not specified,Female,,,,,55.0,,,,55
" 17,206,827,750 ",40 - 49 years,Female,46.0,,,25.0,,,,,72
" 17,257,118,038 ",not specified,Female,55.0,,,26.0,,,,,81
" 17,266,892,538 ",not specified,Female,,,,,22.0,,25.0,,47
" 17,283,480,603 ",not specified,Female,40.0,75.0,,,,,,,115
" 17,301,296,579 ",not specified,Male,,36.0,,,,,,,36
" 17,438,683,822 ",30 - 39 years,Female,24.0,,,,,,,,24
" 17,474,193,817 ",40 - 49 years,Female,25.0,,,68.0,,,,,93
" 17,486,451,337 ",not specified,Female,,,,,90.0,,,,90
" 17,540,972,122 ",not specified,Male,52.0,,,,,,,,52
" 17,544,449,695 ",40 - 49 years,Female,,,,13.0,,,58.0,,70
" 17,609,224,121 ",not specified,Female,78.0,,,69.0,,,,,148
" 17,622,226,169 ",not specified,Female,32.0,,,,,,,,32
" 17,622,400,606 ",20 - 29 years,Male,70.0,,,,,,,,70
" 17,653,450,331 ",not specified,Female,71.0,,,,,,,,71
" 17,710,316,043 ",30 - 39 years,Female,,,,,,100.0,,,100
" 17,725,161,006 ",50 - 59 years,Female,51.0,68.0,,,,,25.0,,144
" 17,746,257,943 ",50 - 59 years, ,63.0,,,,,,,,63
" 17,918,506,098 ",not specified,Female,,100.0,,,,,,,100
" 17,968,457,617 ",30 - 39 years,Female,,,60.0,,,,,,60
" 18,016,105,206 ",50 - 59 years,Female,40.0,,,,,,,,40
" 18,019,541,471 ",40 - 49 years,Female,,,,,,,,66.0,66
" 18,029,742,843 ",not specified,Female,,,,,39.0,,,,39
" 18,078,952,806 ",30 - 39 years,Female,,,,,86.0,,,,86
" 18,089,015,534 ",40 - 49 years,Female,,,,,100.0,,,,100
" 18,225,379,776 ",not specified,Male,30.0,,,,,,,,30
" 18,230,139,253 ",60 years,Female,76.0,,,,,,,,76
" 18,341,626,993 ",not specified,Female,60.0,,,,,,,,60
" 18,349,305,216 ",30 - 39 years,Female,55.0,,,,,,,,55
" 18,389,193,535 ",30 - 39 years,Male,,,,42.0,,,,,42
" 18,390,068,475 ",20 - 29 years,Female,,94.0,,,,,,,94
" 18,530,524,514 ",30 - 39 years,Female,83.0,,,,,,,,83
" 18,574,637,454 ",not specified,Male,,64.0,,,,,,,64
" 18,648,426,647 ",50 - 59 years,Female,,,,,26.0,,,,26
" 18,862,464,526 ",40 - 49 years,Female,,,,,,30.0,,,30
" 18,883,014,875 ",30 - 39 years,Male,,,,40.0,,,,,40
" 18,929,599,345 ",20 - 29 years,Female,,,,,,42.0,,,42
" 18,941,103,748 ",not specified,Female,,,,,,60.0,,,60
" 18,970,703,215 ",not specified,Female,55.0,,,,,,,,55
" 18,998,340,854 ",not specified,Male,,,,34.0,,,,,34
" 19,018,245,020 ",40 - 49 years,Male,,,,,23.0,,,,23
" 19,046,782,092 ",50 - 59 years,Female,,,,,70.0,,,40.0,110
" 19,076,208,419 ",not specified,Female,,40.0,,,,,,,40
" 19,093,449,264 ",not specified,Male,,,,,,,60.0,,60
" 19,099,759,110 ",20 - 29 years,Female,25.0,,,,,,,,25
" 19,121,905,075 ",30 - 39 years,Male,,,,,50.0,,,,50
" 19,126,426,059 ",60 years,Female,,,,,52.0,,,,52
" 19,127,260,366 ",not specified,Male,,100.0,,,,,,,100
" 19,160,413,168 ",30 - 39 years,Female,100.0,,,,,,,,100
" 19,230,086,360 ",not specified,Male,,,,,,,,52.0,52
" 19,288,904,344 ",30 - 39 years,Male,32.0,,,,,,,,32
" 19,306,701,105 ",50 - 59 years,Female,95.0,,,22.0,,,,,116
" 19,360,448,972 ",not specified,Female,15.0,,27.0,,,,,,42
" 19,474,019,852 ",50 - 59 years,Female,56.0,,,,,,,,56
" 19,508,787,830 ",not specified,Male,62.0,,,,,,,,62
" 19,539,202,063 ",20 - 29 years,Female,,,,,,,44.0,,44
" 19,649,751,823 ",50 - 59 years,Female,,,,,,92.0,,,92
" 19,663,472,331 ",not specified,Male,,,,,27.0,,,,27
" 19,714,486,825 ",not specified,Female,30.0,,,,40.0,,,,70
" 19,729,586,353 ",not specified,Female,,,,,87.0,87.0,,29.0,204
" 19,746,351,058 ",30 - 39 years,Female,,,,53.0,,,,,53
" 19,852,242,042 ",not specified,Male,,,20.0,,,,,,20
" 19,877,466,373 ",40 - 49 years,Female,65.0,34.0,,,,35.0,,,134
" 19,902,345,135 ",not specified,Male,,,,,,,,20.0,20
" 19,927,594,499 ",50 - 59 years,Female,,,20.0,,,,,,20
" 20,243,939,416 ",not specified,Female,,,,,98.0,,,,98
" 20,259,116,314 ",40 - 49 years,Male,,,,,16.0,,,,16
" 20,262,329,123 ",not specified,Female,,,,,82.0,,38.0,,119
" 20,275,501,921 ",less than 20 years,Male,,,8.0,,,,,,8
" 20,321,160,501 ",not specified,Female,,16.0,,,,,,,16
" 20,412,540,650 ",not specified,Female,,,,,,60.0,,,60
" 20,503,989,575 ",20 - 29 years,Male,96.0,,,,,,,,96
" 20,640,334,404 ",30 - 39 years,Female,,,32.0,70.0,100.0,,,,202
